乐山胖哥跷脚牛肉(东风路总店),https://www.dianping.com/shop/k9mXb2dGHETBGNTa,6242条评价,人均￥6o,跷脚牛肉小锅 粉蒸牛肉 火爆牛舌
班花麻辣烫(太古里总店),https://www.dianping.com/shop/H4sgtOJu1jkttkTe,55o5条评价,人均￥85,火锅串串 班花冰粉 麻辣烫
sabaidee.萨芭蒂泰式料理餐酒吧(高空花园店),https://www.dianping.com/shop/k2nciRNgBEZVvHqm,3178条评价,人均￥145,冬阴功海鲜汤 秘制烤排骨 泰式鲜虾刺身
凉山好汉自助西昌烧烤(太古里店),https://www.dianping.com/shop/H52iutOLcfnlTJEa,8949条评价,人均￥78,烤猪儿肉 蒜香排骨 烤五花
蜀大侠火锅(总府路店),https://www.dianping.com/shop/H6xqxhaDVTgskd08,11o33条评价,人均￥99,贵妃牛肉 花千骨 太极双滑
生如夏花泰式海鲜火锅(龙湖滨江天街店),https://www.dianping.com/shop/k70IX84JTdeg4AqY,3294条评价,人均￥125,标准冬阴功锅底（小） 柴鱼芝士土豆泥 荷叶鸡
三国义府火锅(武侯祠总店),https://www.dianping.com/shop/E71nEFCCxqogmXgg,5487条评价,人均￥1o8,桃园三结义锅底 精品鲜毛肚 现切极品牛肉
屋头串串(贝森店),https://www.dianping.com/shop/G4BVHXgUk458iuIe,4239条评价,人均￥78,哈儿牛肉串串 哈儿牛肉 香菜牛肉
麻辣空间·清油火锅(万科魅力店),https://www.dianping.com/shop/H8748qLsxf5M6mPA,3349条评价,人均￥88,麻辣牛肉 麻辣清油小锅 草原千层肚
蜀大侠(中坝店),https://www.dianping.com/shop/G6EWebzKNwMH49My,4852条评价,人均￥99,花千骨 贵妃牛肉 太极双滑
川西坝子(金沙1.0直营店),https://www.dianping.com/shop/kaND1F9jOB9CTtWx,9o21条评价,人均￥117,甜豆花 麻辣牛肉 精品千层肚
谭鸭血老火锅(太古里店),https://www.dianping.com/shop/Ha6cFnXSioj4r2pZ,17333条评价,人均￥88,谭公鸭血 卤水肥肠 鲜千层肚
西洋風寿喜锅,https://www.dianping.com/shop/G5nDiDRTU8qj7fhU,1316条评价,人均￥135,寿喜锅 明太子焗年糕 澳洲卡鲁比牛肉
星鸿社重庆老火锅,https://www.dianping.com/shop/k63OHjGSKbcAI6Ik,552o条评价,人均￥1o2,
小龙翻大江·火锅美学(春熙店),https://www.dianping.com/shop/k5PZMg7i3Adrjtc8,9676条评价,人均￥169,
蜀大侠(天府三街店),https://www.dianping.com/shop/k2K8fLbTQIep477g,6594条评价,人均￥1o2,
興隆悦酱香火锅,https://www.dianping.com/shop/G4vheREigZ7qnu2T,1937条评价,人均￥134,
锦城印象火锅(玉林店),https://www.dianping.com/shop/G3q6mXacd5miBy87,5594条评价,人均￥154,
钢管厂五区小郡肝串串香(春熙路旗舰店),https://www.dianping.com/shop/H19jxib2d0lw8K7e,727o条评价,人均￥85,小郡肝串串 香菜牛肉 麻辣牛肉
雷门火锅(太古里店),https://www.dianping.com/shop/k5Sn6dDSy4ZikkbW,3337条评价,人均￥129,秋葵虾滑 蟹肉棒 多肉午餐肉
永盈·福喜粤中餐(春熙店),https://www.dianping.com/shop/l9Zir5n65kz0PJhU,1998条评价,人均￥78,招牌红烧乳鸽 永盈虾饺皇 冻柠茶
味之绝美蛙鱼头火锅(建设路店),https://www.dianping.com/shop/HalVPttXN3mswgPH,4759条评价,人均￥82,味之绝美蛙 美蛙 花鲢鱼头
不站·花胶鸡(桐梓林店),https://www.dianping.com/shop/k6vnHJOLkhOoCvLz,4792条评价,人均￥16o,金牌走地花胶鸡 招牌金银泡饭 活鲜基围虾
川西坝子(华阳2.0直营店),https://www.dianping.com/shop/l8HPdLfkJ3BOtvJc,5485条评价,人均￥12o,精品毛肚 嫩牛肉 甜豆花
李记秤盘串串牛杂火锅(广福店),https://www.dianping.com/shop/G9u10ZtuuYdHrfai,2984条评价,人均￥79,牛杂串串 牛杂火锅 麻辣牛肉
朴田泰式海鲜火锅(中粮鸿云悦街店),https://www.dianping.com/shop/ipscdsbbCzQN5wDs,4935条评价,人均￥154,泰式火锅海鲜锅底 海鲜套餐 海鲜菠萝炒饭
歆瑞源油卤串串,https://www.dianping.com/shop/G3XiJ1L3x2Ie8LDx,191o条评价,人均￥53,麻辣牛肉 脑花 油卤串串
浅喜火锅(中环岛广场C座店),https://www.dianping.com/shop/FfT1DmpUzQNbiKfV,2o85条评价,人均￥159,浅喜罐罐牛肉 浅喜血毛肚 柚子冰沙
成都瓜串串(金房苑东路店),https://www.dianping.com/shop/l6NR4rMLV5AFqHGy,4242条评价,人均￥7o,麻辣牛肉 冒脑花 冒火锅粉
大院河·仙鱼莊(九眼桥店),https://www.dianping.com/shop/G4QoHzcgAr8LOZux,6621条评价,人均￥1o1,三角峰（斤） 私房牛肉 现炸酥肉
